UWI,BHT,TrueTemp,SSTVD(m),Field,X,Y,Set
42013301410000,61.66666666666667,141.55555555555557,3725.418,Eaglebine,2597996.267392737,-350331.93278141756,Training
42013301930000,107.22222222222223,132.778,3168.7008,Eaglebine,2681233.966231102,-316108.6764244982,Training
42013302760000,65.55555555555556,89.16111111111113,1747.4184,Eaglebine,2611185.942274859,-239228.35128800804,Training
42013305480000,76.66666666666667,107.96111111111112,2379.2688000000003,Eaglebine,2651947.6547636907,-249935.7377029579,Training
42013310190000,98.8888888888889,133.72222222222223,3203.289504,Eaglebine,2697925.5808610017,-301994.8137392908,Training
42013311740000,118.33333333333334,132.56666666666666,3151.775256,Eaglebine,2699234.93759699,-301484.95213020314,Training
42013312950000,62.77777777777778,92.80555555555557,1879.7016,Eaglebine,2562095.769078588,-264377.93149024097,Training
42013313140000,85.0,111.67222222222222,2484.7296,Eaglebine,2503002.2634312077,-350360.8613370813,Training
42013313780000,65.0,93.42222222222223,1880.6922000000002,Eaglebine,2500178.4391681617,-293151.70909983414,Training
42013325590000,37.77777777777778,49.9,626.364,Eaglebine,2521593.647614865,-243612.0734241164,Training
42013326640000,110.0,138.6111111,3196.31568,Eaglebine,2699868.3992400365,-299207.87105477735,Training
42013332560000,96.66666666666667,129.4777777777778,3226.308,Eaglebine,2603865.668109426,-271070.4668601703,Training
42013339790000,116.66666666666667,134.1888888888889,3210.7632000000003,Eaglebine,2702088.350423221,-298865.29510987765,Training
42013340230000,90.55555555555556,120.83333333333334,2815.9252800000004,Eaglebine,2670100.456303574,-280878.6861584982,Training
42013340590000,120.55555555555556,133.2,3221.4312,Eaglebine,2678516.439708403,-314937.91623178194,Training
42025304380000,54.44444444444445,65.55555556,936.6504,Eaglebine,2771656.609923283,-348061.0184717283,Training
42025324790000,145.55555555555557,159.71111111111114,4121.9628,Eaglebine,2742357.479893165,-355913.4290192134,Training
42041303360000,96.11111111111111,118.92222222222223,2708.6052,Eaglebine,3280394.4829440773,405049.0515337833,Training
42041304220000,98.33333333333334,139.59444444444443,3592.6776,Eaglebine,3288787.867851283,483812.24916963984,Training
42041304690000,83.88888888888889,110.07777777777777,2419.99008,Eaglebine,3239775.288899728,420097.8891029227,Training
42041305800000,73.88888888888889,82.77777778,2341.9612800000004,Eaglebine,3214939.973852573,409788.1082068284,Training
42041306390000,112.22222222222223,128.16111111111113,3040.0752,Eaglebine,3284092.1502383407,388458.36120153416,Training
42041307630000,85.55555555555556,114.16111111111113,2556.6624,Eaglebine,3246258.0094962977,409033.65648299514,Training
42041308650000,87.77777777777779,114.2,2541.7272000000003,Eaglebine,3239078.8882301385,396872.6835339314,Training
42041308840000,80.0,110.79444444444445,2467.4078160000004,Eaglebine,3245191.1296147434,428311.2519906391,Training
42041309220000,80.55555555555556,110.34444444444445,2438.0952,Eaglebine,3237006.77794007,421417.0170539242,Training
42041309330000,87.77777777777779,113.59444444444445,2567.3304000000003,Eaglebine,3253766.3065621327,427952.7262946117,Training
42041309360000,103.33333333333334,125.3388888888889,2923.7940000000003,Eaglebine,3255097.54662032,373071.3371227663,Training
42041310960000,96.11111111111111,112.97222222222223,2524.3536,Eaglebine,3234347.8953941683,413006.28702658124,Training
42041311700000,108.8888888888889,118.8888889,2350.5322560000004,Eaglebine,3193777.730228645,370911.65419502114,Training
42041311970000,101.66666666666667,114.12222222222222,2564.2824,Eaglebine,3232565.0695044682,399789.43216491013,Training
42041311980000,93.8888888888889,105.0,2337.32832,Eaglebine,3193676.4782581064,374806.634825769,Training
42041312500000,100.55555555555556,107.3388888888889,2339.7972,Eaglebine,3198171.0498870593,384278.34741686867,Training
42041313380000,96.66666666666667,125.28888888888889,2920.10592,Eaglebine,3277097.49174182,393909.83929955645,Training
42041314550000,81.11111111111111,108.45,2375.916,Eaglebine,3227468.026605541,426151.4315376593,Training
42051304680000,75.55555555555556,89.10555555555555,1675.1808,Eaglebine,3109421.035203241,328074.9044084741,Training
42051305140000,143.33333333333334,109.29444444444444,2418.588,Eaglebine,3126241.5791457766,270087.826458247,Training
42051305380000,103.33333333333334,111.1111111,2461.8696,Eaglebine,3128937.954534907,267836.3395514239,Training
42051305480000,98.33333333333334,107.37222222222223,2349.246,Eaglebine,3127142.229460111,284037.394551175,Training
42051306040000,88.88888888888889,111.83888888888889,2486.37552,Eaglebine,3138180.2556158924,276793.9567193296,Training
42051306120000,90.0,113.02777777777777,2534.7168,Eaglebine,3143207.7980280374,278827.52639278915,Training
42051306370000,98.8888888888889,108.24444444444445,2357.3232000000003,Eaglebine,3132589.4713329324,293313.6586779911,Training
42051306740000,123.8888888888889,108.19444444444444,2372.7156,Eaglebine,3148872.815235618,315378.98029977095,Training
42051306750000,85.55555555555556,108.66666666666667,2397.5568000000003,Eaglebine,3143527.7133919857,277228.9957438922,Training
42051307530000,90.55555555555556,109.87222222222223,2419.8072,Eaglebine,3141260.451301805,295538.42256713944,Training
42051307640000,93.33333333333334,107.72222222222223,2342.6928000000003,Eaglebine,3149699.2075389163,316114.7770056871,Training
42051307650000,38.88888888888889,106.86666666666667,2310.384,Eaglebine,3145418.2010230897,316869.99030757917,Training
42051308330000,91.11111111111111,107.3,2298.192,Eaglebine,3161295.288079019,336840.5786856558,Training
42051308540000,97.77777777777779,110.56111111111112,2459.4312,Eaglebine,3130853.4212254495,270597.8225091962,Training
42051308570000,80.0,111.81111111111112,2477.7192,Eaglebine,3137596.9617305147,279923.0354444417,Training
42051309240000,90.0,108.33333333333334,2383.2312,Eaglebine,3128828.911741097,282321.96635091194,Training
42051309360000,79.44444444444444,117.0555556,2381.4024,Eaglebine,3144338.2229783037,303842.83901400573,Training
42051309430000,99.44444444444444,119.55555555555556,2744.724,Eaglebine,3164047.3043604647,280103.08589098434,Training
42051309640000,81.66666666666667,104.46111111111112,2262.34752,Eaglebine,3118559.0194697743,297778.90184649994,Training
42051309880000,90.55555555555556,107.62222222222222,2364.0288,Eaglebine,3127914.812805534,293171.5246091271,Training
42051310100000,97.77777777777779,120.02777777777779,2777.52048,Eaglebine,3154288.7832439784,270779.4422046204,Training
42051310320000,85.55555555555556,117.13888888888889,2664.2568,Eaglebine,3177724.8822469288,309738.2882927091,Training
42051310430000,105.55555555555556,134.28888888888892,3214.116,Eaglebine,3205152.686609872,262878.07959214493,Training
42051310530000,88.88888888888889,116.18333333333334,2618.232,Eaglebine,3185417.6274800897,322200.19522927556,Training
42051310590000,100.0,118.82222222222222,2718.5112,Eaglebine,3165508.156040166,284995.23782147653,Training
42051310600000,96.66666666666667,119.5,2738.628,Eaglebine,3165951.520404936,282387.91043882346,Training
42051312330000,81.66666666666667,105.44444444444446,2251.8624,Eaglebine,3172385.0763448277,362814.0263524936,Training
42051315010000,96.11111111111111,106.89999999999999,2313.7368,Eaglebine,3172627.6626825435,355082.6969037713,Training
42051315180000,89.44444444444444,113.41111111111111,2523.1344,Eaglebine,3177121.340444449,331415.4304638152,Training
42051315190000,60.0,107.61666666666667,2327.7576,Eaglebine,3159425.4817554806,339426.25333776476,Training
42051315580000,85.55555555555556,111.89999999999999,2502.7128000000002,Eaglebine,3188017.6623194925,345724.81150944333,Training
42051315590000,78.88888888888889,108.24444444444445,2402.7384,Eaglebine,3114996.284165172,285259.71427675395,Training
42051316200000,96.66666666666667,112.50555555555556,2519.172,Eaglebine,3152729.8612263384,295837.7666426008,Training
42051316460000,86.11111111111111,112.7388888888889,2519.4768,Eaglebine,3179654.846832212,334232.0774041687,Training
42051316590000,81.66666666666667,118.71111111111112,2705.4048000000003,Eaglebine,3176681.9486367316,271413.84608208574,Training
42051317340000,94.44444444444444,113.77222222222223,2582.5704,Eaglebine,3133781.593706716,266665.9684423425,Training
42051317410000,87.77777777777779,122.91111111111113,2864.8152,Eaglebine,3172604.332578939,279759.76925673446,Training
42051317780000,93.33333333333334,108.05555555555556,2366.58912,Eaglebine,3187526.406970072,362211.1600713149,Training
42051318310000,96.66666666666667,115.2388888888889,2595.0672,Eaglebine,3179804.342660825,325274.25447775074,Training
42051318560000,97.77777777777779,111.78333333333335,2490.2160000000003,Eaglebine,3164500.734828879,319589.67620142305,Training
42051319560000,96.11111111111111,112.3,2509.1136,Eaglebine,3134849.651391149,277180.1802154145,Training
42051325170000,93.33333333333334,111.88333333333333,2483.8152,Eaglebine,3186067.890823343,344179.40749547834,Training
42051325270000,82.77777777777779,110.61666666666667,2435.6568,Eaglebine,3182208.711714357,343597.70744985377,Training
42051325800000,95.55555555555556,109.31666666666668,2386.2792,Eaglebine,3174330.6908966717,343571.1049919458,Training
42051326000000,146.66666666666669,110.83888888888889,2445.7152,Eaglebine,3166227.3720257683,330145.6593873267,Training
42051326100000,85.55555555555556,110.26111111111112,2416.7592,Eaglebine,3176526.098221912,341478.69413220655,Training
42051327690000,71.66666666666667,88.88333333333334,1740.1032,Eaglebine,3083754.3081113584,339581.83057887905,Training
42051327840000,85.0,108.21111111111112,2361.5904,Eaglebine,3176007.41291014,346875.2765879709,Training
42123303590000,42.22222222222222,55.0617284,593.7504,Eaglebine,2910676.0204296797,-208884.37948974787,Training
42123309360000,42.22222222222222,140.0,647.66952,Eaglebine,2914275.9107805416,-225872.49072372852,Training
42123309670000,98.8888888888889,122.05,2932.11504,Eaglebine,2911294.8722018534,-226121.86107667096,Training
42123309750000,93.33333333333334,176.3333333,2991.03288,Eaglebine,2909388.9851672193,-231639.60983888822,Training
42127000690000,47.77777777777778,57.19444444444444,686.0743200000001,Eaglebine,2106617.793966828,-404268.2957128197,Training
42127301140000,92.22222222222223,112.01111111111112,2528.2245600000006,Eaglebine,2160616.4080732754,-427283.60994467087,Training
42127308630000,104.44444444444444,104.61666666666667,2254.6056000000003,Eaglebine,2221179.357421483,-431994.03707646235,Training
42127310470000,74.44444444444444,92.96111111111112,1763.5728000000001,Eaglebine,2103267.5638909317,-489610.09715546854,Training
